,time,group,dim_1,dim_2
0,0,0,0.76871973,0.07189387
1,0,0,0.91473806,0.07406787
2,0,0,0.84800833,0.03732307
3,0,0,0.87582386,0.11540513
4,0,0,0.8145272,0.052594382
5,0,0,0.9867806,0.0022929984
6,0,0,0.9751772,0.0082033435
7,0,0,0.9228475,0.043648895
8,0,0,0.8057989,0.19033468
9,0,0,0.92309356,0.010085718
10,0,0,0.7704743,0.119821936
11,0,0,0.67063034,0.04590922
12,0,0,0.7548335,0.049457632
13,0,0,0.83892834,0.1429341
14,0,0,0.82114255,0.058849808
15,0,0,0.7405195,0.14894244
16,0,0,0.7340019,0.08731981
17,0,0,0.86579084,0.0408622
18,0,0,0.8257967,0.00041455234
19,0,0,0.7693621,0.05871408
20,0,0,0.9672185,0.0231826
21,0,0,0.5641317,0.3289548
22,0,0,0.9242362,0.004400081
23,0,0,0.94609946,0.05329704
24,0,0,0.82044977,0.13026638
25,0,0,0.9532276,0.0076333894
26,0,0,0.90263116,0.09062411
27,0,0,0.56735206,0.05900121
28,0,0,0.99048984,0.0079507725
29,0,0,0.9457588,0.022727408
30,0,0,0.73809934,0.014447909
31,0,0,0.9461874,0.04703914
32,0,0,0.7446823,0.10563966
33,0,0,0.8245998,0.07232609
34,0,0,0.88577133,0.075178765
35,0,0,0.87621164,0.09028165
36,0,0,0.7907231,0.03247133
37,0,0,0.7107794,0.0066136676
38,0,0,0.86810595,0.048152763
39,0,0,0.83160764,0.08074017
40,0,0,0.95888776,0.0140457675
41,0,0,0.93634766,0.05767829
42,0,0,0.7409407,0.121570304
43,0,0,0.8981713,0.012243548
44,0,0,0.830796,0.14963454
45,0,0,0.9150809,0.08051767
46,0,0,0.66654205,0.058570918
47,0,0,0.93875635,0.049963135
48,0,0,0.9314573,0.027938103
49,0,0,0.8862314,0.0052190553
50,0,0,0.79831535,0.16960251
51,0,0,0.80400366,0.11621048
52,0,0,0.87441844,0.031267203
53,0,0,0.74962986,0.20136017
54,0,0,0.68767136,0.20353954
55,0,0,0.82493657,0.106559135
