,index,Eigenvalue_0,Eigenvalue_1
0,0,81.64716,73.3976
1,1,67.38918,59.94799
2,2,57.468575,40.27623
3,3,48.16918,38.417477
4,4,44.633907,36.542828
5,5,38.182526,31.357338
6,6,34.743744,25.794106
7,7,30.839355,24.335346
8,8,29.990368,23.26521
9,9,25.922766,22.3103
10,10,24.689848,20.494476
11,11,23.075151,18.684631
12,12,21.491053,18.39414
13,13,21.27475,17.703846
14,14,20.439774,17.300701
16,17,19.139643,16.831663
19,23,18.270542,16.1886
20,25,18.110373,16.006947
25,33,16.941677,15.503019
27,37,16.618633,15.410767
28,38,16.600756,15.326903
29,39,16.437569,15.174985
32,45,16.161121,15.070251
33,53,16.016586,14.967217
35,55,15.837939,14.849002
36,56,15.717605,14.634059
39,60,15.487131,14.450856
40,61,15.451394,14.22904
41,73,15.360461,14.094462
42,74,15.312428,14.033546
43,75,15.26281,14.010065
44,76,15.191505,13.900401
47,79,14.978583,13.792907
48,80,14.931602,13.74293
49,90,14.881808,13.713791
58,109,14.502018,13.524994
59,110,14.44492,13.472353
60,111,14.369456,13.386063
61,112,14.34005,13.305609
66,124,14.122378,13.243914
68,126,14.065781,13.138054
67,125,14.112017,13.119863
75,145,13.828257,13.02309
76,146,13.820572,13.0063925
77,147,13.785802,12.967873
78,148,13.731051,12.902492
79,149,13.727952,12.84093
80,150,13.688819,12.800821
81,151,13.683931,12.716632
91,178,13.324764,12.668677
92,177,13.310269,12.651882
103,205,12.985551,12.55229
104,207,12.967036,12.525107
106,210,12.892092,12.443614
105,208,12.905158,12.439192
107,209,12.887268,12.398173
108,221,12.844121,12.349026
109,222,12.826496,12.3273115
110,220,12.781987,12.308805
111,219,12.770055,12.2172785
112,218,12.734667,12.198286
113,227,12.729091,12.132328
114,217,12.726691,12.09099
115,229,12.674283,12.046207
116,231,12.648499,12.01179
127,242,12.415987,11.944983
128,247,12.390968,11.91101
129,246,12.3586445,11.873094
130,254,12.346393,11.839502
131,255,12.318375,11.830063
132,257,12.296154,11.799132
133,256,12.282704,11.752807
134,258,12.26387,11.716551
150,289,11.901388,11.687719
151,292,11.866309,11.652198
152,291,11.847918,11.627081
153,293,11.833139,11.603766
154,301,11.793923,11.548625
156,303,11.763916,11.533589
155,302,11.778344,11.524216
157,304,11.750333,11.459298
158,305,11.730691,11.41585
159,306,11.714518,11.402993
160,320,11.6972065,11.356982
161,319,11.692028,11.334801
162,318,11.659533,11.302885
178,349,11.335947,11.243043
179,348,11.296337,11.234027
180,359,11.286402,11.214499
182,366,11.255176,11.17679
184,362,11.221316,11.16006
183,363,11.232988,11.138915
181,367,11.257724,11.095208
185,389,11.172576,11.083112
186,361,11.164508,11.04541
189,365,11.122072,11.008543
188,357,11.128223,11.004406
187,360,11.156709,10.979119
197,396,10.970806,10.940974
198,395,10.960733,10.908361
199,398,10.9405365,10.877024
201,402,10.918111,10.840904
200,397,10.929767,10.831295
208,407,10.795703,10.779242
209,406,10.760345,10.758331
210,408,10.747992,10.736394
212,416,10.712047,10.70969
211,409,10.717938,10.691466
218,422,10.632366,10.667785
219,421,10.623577,10.648093
220,420,10.608166,10.608587
221,425,10.588087,10.572144
222,431,10.564518,10.54148
228,444,10.464659,10.51609
229,445,10.453869,10.492307
230,447,10.436652,10.473004
232,450,10.41326,10.447203
231,446,10.426159,10.439958
239,480,10.308047,10.424883
242,459,10.244994,10.390246
243,477,10.210573,10.388444
240,460,10.267164,10.354152
241,478,10.259366,10.3136425
249,495,10.130671,10.3008375
250,488,10.116442,10.268808
251,497,10.104357,10.23718
252,487,10.093428,10.220842
253,486,10.091419,10.213776
261,531,9.965281,10.19974
260,529,9.974026,10.193882
262,530,9.958328,10.162559
263,533,9.941795,10.106951
264,532,9.931812,10.098887
265,534,9.90833,10.088573
283,567,9.665417,10.064437
284,566,9.660028,10.054084
292,604,9.544629,10.028967
291,599,9.553332,10.0158415
289,579,9.577034,9.9886
290,588,9.555489,9.9725275
288,563,9.591603,9.955479
287,564,9.605506,9.941341
286,573,9.616454,9.914293
285,565,9.630989,9.910341
282,558,9.671557,9.879471
281,553,9.677823,9.845288
280,551,9.70112,9.841983
279,552,9.711875,9.828091
295,585,9.509491,9.809811
294,584,9.520094,9.785888
297,586,9.480488,9.756603
296,581,9.490032,9.740952
301,562,9.419819,9.716565
300,582,9.442675,9.715357
305,557,9.375032,9.697536
304,570,9.397665,9.673793
308,547,9.323353,9.65004
313,639,9.260967,9.641308
312,638,9.274161,9.598013
314,643,9.239803,9.586963
315,640,9.233451,9.572154
319,642,9.181385,9.546301
320,641,9.167624,9.527989
321,650,9.142707,9.525896
326,656,9.094344,9.50553
325,649,9.104043,9.48793
330,660,9.047385,9.464447
331,661,9.036151,9.4482565
340,663,8.930498,9.421205
329,657,9.061983,9.418416
339,673,8.944062,9.410863
338,679,8.951073,9.399197
337,678,8.962167,9.379552
342,677,8.898614,9.359855
341,664,8.915342,9.3395815
347,666,8.831174,9.304045
348,667,8.827408,9.274347
349,669,8.816038,9.266271
355,647,8.75104,9.248099
356,738,8.731543,9.241827
357,737,8.725525,9.231454
358,739,8.712973,9.21034
359,740,8.707775,9.20144
360,741,8.691644,9.160768
365,749,8.640232,9.140839
366,748,8.631947,9.133976
367,747,8.62511,9.123902
370,760,8.5815115,9.110414
368,746,8.612008,9.091847
369,755,8.596506,9.075271
380,763,8.46879,9.058195
381,764,8.457127,9.048248
382,766,8.449324,9.031856
384,762,8.43185,9.020155
383,765,8.443071,9.018212
379,752,8.476559,8.984423
378,753,8.493309,8.978378
392,735,8.328623,8.969236
395,731,8.297239,8.942323
396,829,8.292114,8.921913
399,831,8.26209,8.917475
398,832,8.270631,8.899097
397,830,8.28917,8.888562
400,839,8.253513,8.860146
401,837,8.23632,8.856564
413,826,8.100067,8.848667
414,824,8.098349,8.838835
415,816,8.071937,8.827619
416,820,8.068231,8.794816
429,916,7.9526796,8.778281
