,seed,nodes,constrained,method_OL,method_OA,method_NO,component,B_est,B_real
0,0,1500,0,1,0,0,0,1.6474391,1.0
1,0,1500,0,1,0,0,1,0.59584653,0.0
2,0,1500,0,1,0,0,2,-0.35917214,-1.0
3,0,1500,0,1,0,0,3,-0.5093868,0.0
4,0,1500,0,1,0,0,4,0.3766268,1.0
5,0,1500,0,1,0,0,5,-1.5333328,-1.0
6,0,1500,0,1,0,0,6,0.4391133,1.0
7,0,1500,0,1,0,0,7,-0.45002133,0.0
8,0,1500,0,1,0,0,8,-1.5057842,-1.0
9,0,1500,0,1,0,0,9,0.6426226,0.0
10,0,1500,0,1,0,0,10,1.7670878,1.0
11,0,1500,0,1,0,0,11,-0.29207873,-1.0
12,0,1500,0,1,0,0,12,-3.6274848,-4.0
13,0,1500,0,1,0,0,13,0.36257058,0.0
14,0,1500,0,1,0,0,14,4.4613194,4.0
15,0,1500,0,1,0,0,15,0.6709285,0.0
16,0,1500,0,1,0,0,16,-3.4265625,-4.0
17,0,1500,0,1,0,0,17,4.6899586,4.0
18,0,1500,0,1,0,0,18,4.5526958,5.0
19,0,1500,0,1,0,0,19,4.5694823,5.0
20,0,1500,0,1,0,0,20,2.4846182,3.0
21,1,1500,0,1,0,0,0,1.0394919,1.0
22,1,1500,0,1,0,0,1,0.055627316,0.0
23,1,1500,0,1,0,0,2,-0.8882443,-1.0
24,1,1500,0,1,0,0,3,1.0359877,0.0
25,1,1500,0,1,0,0,4,1.8537848,1.0
26,1,1500,0,1,0,0,5,-0.07355192,-1.0
27,1,1500,0,1,0,0,6,0.69319654,1.0
28,1,1500,0,1,0,0,7,-0.3533728,0.0
29,1,1500,0,1,0,0,8,-1.327779,-1.0
30,1,1500,0,1,0,0,9,-1.3411722,0.0
31,1,1500,0,1,0,0,10,-0.10359664,1.0
32,1,1500,0,1,0,0,11,-2.1572492,-1.0
33,1,1500,0,1,0,0,12,-4.9468193,-4.0
34,1,1500,0,1,0,0,13,-1.0070709,0.0
35,1,1500,0,1,0,0,14,3.1786754,4.0
36,1,1500,0,1,0,0,15,-1.055077,0.0
37,1,1500,0,1,0,0,16,-5.009513,-4.0
38,1,1500,0,1,0,0,17,3.1182806,4.0
