,iter,nodes,error_T0,error_T1
0,10.0,1500.0,0.08979661,0.079498135
1,10.0,2250.0,0.07330498,0.06287652
2,10.0,3000.0,0.06446205,0.05626657
3,10.0,3750.0,0.06396411,0.052195143
4,10.0,4500.0,0.051068664,0.04893927
5,10.0,5250.0,0.053735174,0.042788707
6,10.0,6000.0,0.048930574,0.041098993
7,10.0,6750.0,0.045758728,0.040064685
8,10.0,7500.0,0.042600293,0.03841482
9,10.0,8250.0,0.042213246,0.037614048
10,10.0,9000.0,0.041355915,0.034817856
11,10.0,9750.0,0.03895826,0.03397838
12,10.0,10500.0,0.03874911,0.032430172
13,10.0,11250.0,0.03937729,0.030875728
14,10.0,12000.0,0.036029033,0.031143958
