,time,group,dim_1,dim_2
0,0,0,0.9640675,0.028660292
1,0,0,0.74508035,0.06969458
2,0,0,0.875263,0.04317267
3,0,0,0.9669001,0.01193753
4,0,0,0.85845363,0.058609493
5,0,0,0.8758565,0.047364198
6,0,0,0.6727755,0.1110289
7,0,0,0.74942786,0.12908763
8,0,0,0.7538438,0.09652381
9,0,0,0.91088116,0.0397646
10,0,0,0.7923878,0.114653684
11,0,0,0.8233454,0.16248703
12,0,0,0.87587136,0.030285548
13,0,0,0.9400466,0.027561216
14,0,0,0.7465075,0.064632095
15,0,0,0.9273817,0.028028976
16,0,0,0.76700985,0.1302841
17,0,0,0.90358645,0.024434606
18,0,0,0.8874909,0.027356511
19,0,0,0.91865593,0.008655611
20,0,0,0.7352282,0.1391522
21,0,0,0.9344429,0.056908853
22,0,0,0.7302055,0.16584553
23,0,0,0.7508306,0.022143804
24,0,0,0.82825714,0.10792316
25,0,0,0.779777,0.04403605
26,0,0,0.8597566,0.07560425
27,0,0,0.79791844,0.09639881
28,0,0,0.8238116,0.018515572
29,0,0,0.7349525,0.112741046
30,0,0,0.8850123,0.10651562
31,0,0,0.9039815,0.040231504
32,0,0,0.95121413,0.00069364556
33,0,0,0.9063749,0.042444374
34,0,0,0.7922547,0.045262817
35,0,0,0.9164498,0.041926295
36,0,0,0.6562491,0.31674314
37,0,0,0.6065465,0.3234096
38,0,0,0.77446616,0.20607394
39,0,0,0.92536044,0.018966502
40,0,0,0.8384084,0.024184575
41,0,0,0.6617032,0.2993852
42,0,0,0.9681828,0.020686679
43,0,0,0.69475025,0.0060571143
44,0,0,0.90674734,0.07206084
45,0,0,0.97466594,0.024867034
46,0,0,0.6261041,0.29182565
47,0,0,0.9235991,0.014896499
48,0,0,0.82052565,0.020293808
49,0,0,0.92486745,0.070981905
50,0,0,0.49197236,0.31313634
51,0,0,0.9783494,0.006491686
52,0,0,0.88282883,0.019144306
53,0,0,0.78584033,0.07561655
54,0,0,0.9527078,0.020393556
55,0,0,0.86102194,0.065485716
56,0,0,0.7310853,0.24005553
57,0,0,0.8679079,0.007683499
58,0,0,0.7435568,0.20628527
59,0,0,0.92170405,0.071696036
60,0,0,0.57004476,0.064662434
61,0,0,0.93764424,0.051975515
62,0,0,0.68028647,0.0125052575
63,0,0,0.7650963,0.20912029
64,0,0,0.7587967,0.17469868
65,0,0,0.94919777,0.02145348
66,0,0,0.9018886,0.01734854
67,0,0,0.65148443,0.007977845
68,0,0,0.9887318,0.000982169
69,0,0,0.97534055,0.018533636
70,0,0,0.92395926,0.065316595
71,0,0,0.9526677,0.005070727
72,0,0,0.9409635,0.050949104
73,0,0,0.7462214,0.14358917
74,0,0,0.90773624,0.04500988
75,0,0,0.84774774,0.10508259
76,0,0,0.8854202,0.044990186
77,0,0,0.8087864,0.025755294
78,0,0,0.88345265,0.06141276
79,0,0,0.9144296,0.050721895
80,0,0,0.7528752,0.01571658
81,0,0,0.8409985,0.055957675
82,0,0,0.9433413,0.0127190165
83,0,0,0.9073936,0.009222442
84,0,0,0.9125515,0.013626509
85,0,0,0.79585457,0.08354274
86,0,0,0.82520664,0.11134941
87,0,0,0.8996777,0.07561958
88,0,0,0.8564571,0.02624236
89,0,0,0.92209494,0.06658603
90,0,0,0.6930037,0.23928435
91,0,0,0.6985364,0.048536446
92,0,0,0.8976742,0.03185123
93,0,0,0.7430125,0.2312089
94,0,0,0.92547315,0.034374304
95,0,0,0.8311424,0.08910471
96,0,0,0.8380345,0.16081837
97,0,0,0.75003284,0.24599715
98,0,0,0.7177327,0.17807
99,0,0,0.8670114,0.030469598
100,0,0,0.9588933,0.0031406854
101,0,0,0.6216836,0.16628678
102,0,0,0.639289,0.0824488
103,0,0,0.9083364,0.04127593
104,0,0,0.8913932,0.030376414
105,0,0,0.748387,0.15388128
106,0,0,0.8946162,0.08898482
107,0,0,0.6511323,0.06138674
108,0,0,0.81625617,0.024573604
109,0,0,0.9175277,0.018991314
110,0,0,0.9102311,0.05661142
111,0,0,0.79187477,0.16820148
112,0,0,0.91983974,0.05536066
113,0,0,0.93388677,0.01751083
114,0,0,0.947161,0.0022754504
115,0,0,0.8273559,0.013918764
116,0,0,0.6452699,0.27139422
117,0,0,0.5404305,0.28690428
118,0,0,0.928979,0.0322094
119,0,0,0.9000391,0.009651058
120,0,0,0.7883696,0.110694766
121,0,0,0.8493629,0.06767704
122,0,0,0.98113465,0.006998315
123,0,0,0.8456603,0.083771996
124,0,0,0.73585606,0.2149826
125,0,0,0.8494049,0.035616037
126,0,0,0.93023014,0.0661799
127,0,0,0.76931274,0.0018591
128,0,0,0.80756897,0.1348493
129,0,0,0.74985254,0.014193664
130,0,0,0.78170806,0.1107008
131,0,0,0.8727805,0.068214044
132,0,0,0.8967446,0.0060788514
133,0,0,0.8898705,0.02179244
134,0,0,0.8763532,0.023326501
135,0,0,0.73010325,0.002784558
136,0,0,0.9304778,0.022929335
137,0,0,0.7021084,0.1595061
138,0,0,0.965801,0.03222153
139,0,0,0.75368404,0.11120471
140,0,0,0.7972626,0.17469613
