,time,group,dim_1,dim_2
0,0,0,-0.58264387,-0.491929
1,0,0,-0.7071942,-0.5995386
2,0,0,-0.6343925,-0.6027135
3,0,0,-0.7065578,-0.5569428
4,0,0,-0.59824395,-0.5340573
5,0,0,-0.6946103,-0.6982262
6,0,0,-0.7152065,-0.68343616
7,0,0,-0.69541097,-0.6334189
8,0,0,-0.6986089,-0.46169114
9,0,0,-0.63468194,-0.62034583
10,0,0,-0.6059805,-0.45102286
11,0,0,-0.48073083,-0.44698274
12,0,0,-0.56433594,-0.4973394
13,0,0,-0.70222396,-0.4603111
14,0,0,-0.64899474,-0.5564121
15,0,0,-0.6369709,-0.4255066
16,0,0,-0.59291637,-0.46495864
17,0,0,-0.64742017,-0.5889868
18,0,0,-0.5939593,-0.6029398
19,0,0,-0.5695475,-0.50752896
20,0,0,-0.7182026,-0.6695019
21,0,0,-0.63210016,-0.14731474
22,0,0,-0.6549475,-0.6496494
23,0,0,-0.6960592,-0.608323
24,0,0,-0.67902744,-0.4986249
25,0,0,-0.667252,-0.65049314
26,0,0,-0.7103415,-0.57279444
27,0,0,-0.44991013,-0.37592715
28,0,0,-0.72103995,-0.7000079
29,0,0,-0.6852983,-0.66379917
30,0,0,-0.5277603,-0.5156758
31,0,0,-0.7145655,-0.6411059
32,0,0,-0.5913775,-0.45623493
33,0,0,-0.63981587,-0.5156055
34,0,0,-0.65283453,-0.5899694
35,0,0,-0.65768147,-0.54142696
36,0,0,-0.5931823,-0.54880476
37,0,0,-0.50040853,-0.48734033
38,0,0,-0.64194906,-0.5841875
39,0,0,-0.6391643,-0.5118367
40,0,0,-0.6933618,-0.66734856
41,0,0,-0.682622,-0.6102346
42,0,0,-0.62583834,-0.43225595
43,0,0,-0.64167404,-0.6259236
44,0,0,-0.6887284,-0.4721065
45,0,0,-0.6779598,-0.5740294
46,0,0,-0.5096518,-0.41719195
47,0,0,-0.68541294,-0.6083412
48,0,0,-0.6521419,-0.63481903
49,0,0,-0.6252489,-0.61292887
50,0,0,-0.69148034,-0.42354742
51,0,0,-0.6368828,-0.4924268
52,0,0,-0.6475298,-0.58417386
53,0,0,-0.6627374,-0.41144842
54,0,0,-0.6117143,-0.34186864
55,0,0,-0.6670278,-0.51185614
56,0,0,-0.525749,-0.44387373
57,0,0,-0.65325034,-0.5878754
