,seed,nodes,constrained,method_OL,method_OA,method_NO,component,B_est,B_real,info_lost,number_of_iterations,max_iterations
0,0,1200,0,1,0,0,0,0.49704573,1.0,0.0,4,200
1,0,1200,0,1,0,0,1,-0.49144176,0.0,0.0,4,200
2,0,1200,0,1,0,0,2,-1.4839303,-1.0,0.0,4,200
3,0,1200,0,1,0,0,3,-0.07807419,0.0,0.0,4,200
4,0,1200,0,1,0,0,4,1.0249687,1.0,0.0,4,200
5,0,1200,0,1,0,0,5,-1.0185789,-1.0,0.0,4,200
6,0,1200,0,1,0,0,6,1.5873196,1.0,0.0,4,200
7,0,1200,0,1,0,0,7,0.626359,0.0,0.0,4,200
8,0,1200,0,1,0,0,8,-0.44547582,-1.0,0.0,4,200
9,0,1200,0,1,0,0,9,-0.16880077,0.0,0.0,4,200
10,0,1200,0,1,0,0,10,0.82732284,1.0,0.0,4,200
11,0,1200,0,1,0,0,11,-1.1640923,-1.0,0.0,4,200
12,0,1200,0,1,0,0,12,-4.094088,-4.0,0.0,4,200
13,0,1200,0,1,0,0,13,-0.09333933,0.0,0.0,4,200
14,0,1200,0,1,0,0,14,3.8318021,4.0,0.0,4,200
15,0,1200,0,1,0,0,15,-0.60411286,0.0,0.0,4,200
16,0,1200,0,1,0,0,16,-4.528401,-4.0,0.0,4,200
17,0,1200,0,1,0,0,17,3.3989093,4.0,0.0,4,200
18,0,1200,0,1,0,0,18,5.3103437,5.0,0.0,4,200
19,0,1200,0,1,0,0,19,5.236411,5.0,0.0,4,200
20,0,1200,0,1,0,0,20,3.3243308,3.0,0.0,4,200
21,0,1200,0,0,1,0,0,0.55037636,1.0,0.0875,11,200
22,0,1200,0,0,1,0,1,-0.26623267,0.0,0.0875,11,200
23,0,1200,0,0,1,0,2,-1.1968529,-1.0,0.0875,11,200
24,0,1200,0,0,1,0,3,0.025005521,0.0,0.0875,11,200
25,0,1200,0,0,1,0,4,1.2641369,1.0,0.0875,11,200
26,0,1200,0,0,1,0,5,-0.71697044,-1.0,0.0875,11,200
27,0,1200,0,0,1,0,6,1.7945913,1.0,0.0875,11,200
28,0,1200,0,0,1,0,7,0.68967974,0.0,0.0875,11,200
29,0,1200,0,0,1,0,8,-0.58035076,-1.0,0.0875,11,200
30,0,1200,0,0,1,0,9,0.20821497,0.0,0.0875,11,200
31,0,1200,0,0,1,0,10,1.0758342,1.0,0.0875,11,200
32,0,1200,0,0,1,0,11,-1.0340788,-1.0,0.0875,11,200
33,0,1200,0,0,1,0,12,-0.45080647,-4.0,0.0875,11,200
34,0,1200,0,0,1,0,13,3.4460776,0.0,0.0875,11,200
35,0,1200,0,0,1,0,14,7.4015937,4.0,0.0875,11,200
36,0,1200,0,0,1,0,15,3.3142133,0.0,0.0875,11,200
37,0,1200,0,0,1,0,16,-0.60933316,-4.0,0.0875,11,200
38,0,1200,0,0,1,0,17,7.3389206,4.0,0.0875,11,200
39,0,1200,0,0,1,0,18,0.70032257,5.0,0.0875,11,200
40,0,1200,0,0,1,0,19,0.6544288,5.0,0.0875,11,200
41,0,1200,0,0,1,0,20,-1.2317743,3.0,0.0875,11,200
42,0,1200,0,0,0,1,0,1.1414461,1.0,0.09,19,200
43,0,1200,0,0,0,1,1,-0.07553157,0.0,0.09,19,200
44,0,1200,0,0,0,1,2,-0.9198353,-1.0,0.09,19,200
45,0,1200,0,0,0,1,3,-0.63689715,0.0,0.09,19,200
46,0,1200,0,0,0,1,4,0.24733913,1.0,0.09,19,200
47,0,1200,0,0,0,1,5,-1.4476902,-1.0,0.09,19,200
48,0,1200,0,0,0,1,6,1.1104912,1.0,0.09,19,200
49,0,1200,0,0,0,1,7,0.39495853,0.0,0.09,19,200
50,0,1200,0,0,0,1,8,-0.9768437,-1.0,0.09,19,200
51,0,1200,0,0,0,1,9,0.8389876,0.0,0.09,19,200
52,0,1200,0,0,0,1,10,2.0685873,1.0,0.09,19,200
53,0,1200,0,0,0,1,11,-0.3388574,-1.0,0.09,19,200
54,0,1200,0,0,0,1,12,-0.8792158,-4.0,0.09,19,200
55,0,1200,0,0,0,1,13,3.1230435,0.0,0.09,19,200
56,0,1200,0,0,0,1,14,7.0969806,4.0,0.09,19,200
57,0,1200,0,0,0,1,15,3.185419,0.0,0.09,19,200
58,0,1200,0,0,0,1,16,-0.6118091,-4.0,0.09,19,200
59,0,1200,0,0,0,1,17,7.0934334,4.0,0.09,19,200
60,0,1200,0,0,0,1,18,0.92284137,5.0,0.09,19,200
61,0,1200,0,0,0,1,19,0.87163615,5.0,0.09,19,200
62,0,1200,0,0,0,1,20,-0.96052265,3.0,0.09,19,200
63,1,1200,0,1,0,0,0,0.7974882,1.0,0.0,5,200
64,1,1200,0,1,0,0,1,-0.28088003,0.0,0.0,5,200
65,1,1200,0,1,0,0,2,-1.1315917,-1.0,0.0,5,200
66,1,1200,0,1,0,0,3,-0.8276693,0.0,0.0,5,200
67,1,1200,0,1,0,0,4,0.13028078,1.0,0.0,5,200
68,1,1200,0,1,0,0,5,-1.8427979,-1.0,0.0,5,200
69,1,1200,0,1,0,0,6,1.3672013,1.0,0.0,5,200
70,1,1200,0,1,0,0,7,0.37533376,0.0,0.0,5,200
71,1,1200,0,1,0,0,8,-0.7363188,-1.0,0.0,5,200
72,1,1200,0,1,0,0,9,1.1759489,0.0,0.0,5,200
73,1,1200,0,1,0,0,10,2.1949682,1.0,0.0,5,200
74,1,1200,0,1,0,0,11,0.16477975,-1.0,0.0,5,200
75,1,1200,0,1,0,0,12,-3.5848072,-4.0,0.0,5,200
76,1,1200,0,1,0,0,13,0.29514724,0.0,0.0,5,200
77,1,1200,0,1,0,0,14,4.37199,4.0,0.0,5,200
78,1,1200,0,1,0,0,15,0.90338665,0.0,0.0,5,200
79,1,1200,0,1,0,0,16,-3.1710815,-4.0,0.0,5,200
80,1,1200,0,1,0,0,17,4.8799367,4.0,0.0,5,200
81,1,1200,0,1,0,0,18,4.3346577,5.0,0.0,5,200
82,1,1200,0,1,0,0,19,4.429411,5.0,0.0,5,200
83,1,1200,0,1,0,0,20,2.3741643,3.0,0.0,5,200
84,1,1200,0,0,1,0,0,-0.8643555,1.0,0.08083333,10,200
85,1,1200,0,0,1,0,1,-1.898417,0.0,0.08083333,10,200
86,1,1200,0,0,1,0,2,-2.6982727,-1.0,0.08083333,10,200
87,1,1200,0,0,1,0,3,-1.0681041,0.0,0.08083333,10,200
88,1,1200,0,0,1,0,4,-0.26452953,1.0,0.08083333,10,200
89,1,1200,0,0,1,0,5,-2.1613014,-1.0,0.08083333,10,200
90,1,1200,0,0,1,0,6,2.5116954,1.0,0.08083333,10,200
91,1,1200,0,0,1,0,7,1.5734764,0.0,0.08083333,10,200
92,1,1200,0,0,1,0,8,0.42710653,-1.0,0.08083333,10,200
93,1,1200,0,0,1,0,9,0.6950589,0.0,0.08083333,10,200
