,time,group,dim_1,dim_2,dim_3
0,0,0,0.819425,0.08676528,0.09380973
1,0,0,0.75380564,0.17308941,0.073104955
2,0,0,0.47001493,0.28562012,0.24436495
3,0,0,0.4687129,0.231118,0.3001691
4,0,0,0.58928883,0.0027778319,0.40793332
5,0,0,0.6860023,0.26039413,0.053603552
6,0,0,0.68941826,0.28441432,0.026167426
7,0,0,0.103465945,0.4310316,0.4655024
8,0,0,0.1065018,0.66395587,0.22954233
9,0,0,0.52080536,0.30066943,0.17852516
10,0,0,0.69591916,0.083862394,0.22021848
11,0,0,0.38263392,0.5314259,0.08594017
12,0,0,0.8510595,0.13615246,0.012788016
13,0,0,0.7743355,0.028592594,0.19707192
14,0,0,0.06113254,0.23097494,0.70789254
15,0,0,0.09690679,0.7181568,0.18493637
16,0,0,0.4618839,0.02059735,0.51751876
17,0,0,0.21609053,0.3143011,0.46960837
18,0,0,0.16497007,0.14636879,0.68866116
19,0,0,0.38427415,0.37959757,0.23612829
20,0,0,0.6352917,0.1623339,0.2023744
21,0,0,0.2825413,0.24751748,0.46994123
22,0,0,0.15109865,0.4920742,0.35682717
23,0,0,0.14265321,0.11651077,0.740836
24,0,0,0.48317847,0.24363957,0.27318197
25,0,0,0.56597865,0.25912905,0.1748923
26,0,0,0.5150762,0.42582405,0.059099764
27,0,0,0.7129667,0.00823361,0.2787997
28,0,0,0.90920615,0.021522969,0.06927087
29,0,0,0.09495999,0.23621292,0.66882706
30,0,0,0.5797661,0.15420835,0.26602554
31,0,0,0.06562539,0.016600545,0.9177741
32,0,0,0.7719893,0.025497122,0.2025136
33,0,0,0.59099144,0.004464053,0.4045445
34,0,0,0.0587006,0.5623691,0.37893027
35,0,0,0.09628701,0.8780562,0.02565677
36,0,0,0.57730436,0.3335143,0.08918135
37,0,0,0.4140832,0.1497769,0.43613988
38,0,0,0.55484587,0.0008159355,0.4443382
39,0,0,0.20279185,0.7366552,0.060552947
40,0,0,0.08710746,0.55144167,0.36145088
41,0,0,0.19088288,0.5868128,0.2223043
42,0,0,0.0032206469,0.40838858,0.58839077
43,0,0,0.19351865,0.50084865,0.3056327
44,0,0,0.50445086,0.37774765,0.11780146
45,0,0,0.4015278,0.31234166,0.28613058
46,0,0,0.57839245,0.23068483,0.1909227
47,0,0,0.27802575,0.07241967,0.64955455
48,0,0,0.1902062,0.52781487,0.28197896
49,0,0,0.33156607,0.25117275,0.41726118
50,0,0,0.52434254,0.020522172,0.45513532
51,0,0,0.68816197,0.30189323,0.009944801
52,0,0,0.16450678,0.8275524,0.007940839
53,0,0,0.12563659,0.17095593,0.70340747
54,0,0,0.018601986,0.8861299,0.09526811
55,0,0,0.5043675,0.21908619,0.27654633
56,0,0,0.13274845,0.14141236,0.7258392
57,0,0,0.73278517,0.032145523,0.2350693
