,n,theta_var,theta_var_CI_lb,theta_var_CI_ub,inv_hessian
0,10000,1.3854551030103622e-07,1.3471782689465807e-07,1.427259179696196e-07,2.6323972633690573e-05
1,12000,1.1478213562978869e-07,1.1149845496691708e-07,1.1817359749753703e-07,2.148216481145937e-05
2,14000,9.625248621487608e-08,9.361760842684361e-08,9.888060525565357e-08,1.840615732362494e-05
3,16000,8.753526125419343e-08,8.493103672882086e-08,8.996712972701594e-08,1.6591780877206475e-05
4,18000,7.591772345545276e-08,7.388516743870224e-08,7.794730789142973e-08,1.4646362615167163e-05
5,20000,7.030043054171377e-08,6.848523966290825e-08,7.222430691633886e-08,1.3045043488091324e-05
6,22000,6.220427839438113e-08,6.029451469712754e-08,6.385539604360218e-08,1.1890961104654707e-05
7,24000,5.8178546097483184e-08,5.664918719787465e-08,5.985696976683343e-08,1.0918017324001994e-05
8,26000,5.3390014619438736e-08,5.1950085145953825e-08,5.481508472756251e-08,1.0136308446817566e-05
9,28000,4.96438925735843e-08,4.8212447464827503e-08,5.1019567206822345e-08,9.299955308961216e-06
10,30000,4.6721777756822626e-08,4.5527987619752734e-08,4.803894332714917e-08,8.595589861215558e-06
11,32000,4.3559822732538806e-08,4.2310463789975886e-08,4.478244550858961e-08,8.167952728399541e-06
12,34000,4.037375865006896e-08,3.924309829429483e-08,4.150141787680331e-08,7.670487320865504e-06
13,36000,3.846917799202555e-08,3.738872278072529e-08,3.957174127360681e-08,7.380167517112568e-06
14,38000,3.5711450972887524e-08,3.47621389246589e-08,3.660953281675724e-08,6.882064553792588e-06
15,40000,3.5223627222629946e-08,3.421137716404524e-08,3.625403985849021e-08,6.618341558350949e-06
16,42000,3.334694360624407e-08,3.245592487546334e-08,3.422301664218062e-08,6.221101102710236e-06
17,44000,3.135708803367995e-08,3.048121853054191e-08,3.218169556194701e-08,6.013917754899012e-06
18,46000,2.9319852165479344e-08,2.8508970584665677e-08,3.016861199755149e-08,5.681889433617471e-06
19,48000,2.92379800217191e-08,2.8465253389748686e-08,3.0000885203042114e-08,5.4899114729778375e-06
20,50000,2.710693289932529e-08,2.6366729027708946e-08,2.7867825161011513e-08,5.189438525121659e-06
21,52000,2.6066392405740302e-08,2.5331962995573257e-08,2.6836089119961605e-08,5.060086095909355e-06
22,54000,2.5403355422724557e-08,2.470190281351596e-08,2.616675763077021e-08,4.863733920501545e-06
23,56000,2.5143563892286427e-08,2.4422940684914762e-08,2.5836023127874696e-08,4.670419912145007e-06
24,58000,2.399636252618566e-08,2.3325662579688856e-08,2.4688778688194403e-08,4.492389052757062e-06
25,60000,2.2394736763616066e-08,2.178461980833219e-08,2.297466679050927e-08,4.357079887995496e-06
26,62000,2.2564478036799425e-08,2.1940429436981205e-08,2.3197633594898945e-08,4.2366355046397075e-06
27,64000,2.1932927542851275e-08,2.1293930203096765e-08,2.253142803151201e-08,4.077669927937677e-06
28,66000,2.0610504266769664e-08,2.0039992519703295e-08,2.114935219275404e-08,3.977370852226159e-06
29,68000,1.9702206267241948e-08,1.9185126246826625e-08,2.02706281769605e-08,3.818372988462215e-06
30,70000,1.9647451592716167e-08,1.9110222126806776e-08,2.017822219150593e-08,3.7610811887134332e-06
31,72000,1.9343015738289115e-08,1.8820530696799448e-08,1.986821905866577e-08,3.6495075619313866e-06
32,74000,1.841005364122676e-08,1.7891191284952378e-08,1.8948370144576312e-08,3.4919728477689205e-06
33,76000,1.8401358113245822e-08,1.7894277083410157e-08,1.8929557428742977e-08,3.4693273391894763e-06
34,78000,1.773671146682506e-08,1.7274115594526794e-08,1.8248420246598754e-08,3.338060196256265e-06
35,80000,1.7425604532404752e-08,1.695375182146657e-08,1.7923735193184347e-08,3.278075155321858e-06
36,82000,1.649708403211602e-08,1.6075512072143213e-08,1.6976181551204924e-08,3.180485919074272e-06
37,84000,1.6575520326210415e-08,1.6118731244711594e-08,1.7051907778354672e-08,3.142735067740432e-06
38,86000,1.5990510442813403e-08,1.5553807103210517e-08,1.638925182455406e-08,3.033758503079298e-06
39,88000,1.5870188334708543e-08,1.545276212222054e-08,1.628173634087551e-08,2.9648610961885424e-06
40,90000,1.5284912341719696e-08,1.4875876709150407e-08,1.568851515903365e-08,2.9256675588840153e-06
41,92000,1.4971228891107465e-08,1.4524813755284517e-08,1.5376458617880414e-08,2.835007080648211e-06
42,94000,1.4863740959729997e-08,1.4429596981081426e-08,1.5282414960279757e-08,2.7969354050583206e-06
43,96000,1.4408264263902484e-08,1.3979331462914646e-08,1.4781403782936523e-08,2.734538611548487e-06
44,98000,1.426254988886152e-08,1.387393392793302e-08,1.4636155533309013e-08,2.6820723633136367e-06
45,100000,1.3898055711729283e-08,1.3496851272367093e-08,1.4278953060762375e-08,2.6234199594910024e-06
