,n,coef,emp_var_diag,theo_var
0,10000,1,7.148874398343048e-08,6.779011900404373e-08
1,10000,2,6.645658168994729e-08,6.837802446819479e-08
2,60000,1,1.141522862394093e-08,1.1374849534052188e-08
3,60000,2,1.1586912431943303e-08,1.137660467748217e-08
4,110000,1,6.467851833042804e-09,6.226337540081687e-09
5,110000,2,6.604148834288699e-09,6.230931134826767e-09
6,160000,1,4.195883832896932e-09,4.301603701819116e-09
7,160000,2,4.357036290208416e-09,4.281519185050867e-09
8,210000,1,3.419841393258102e-09,3.271047999348259e-09
9,210000,2,3.434802252256041e-09,3.2617381641142707e-09
10,260000,1,2.5950206105924007e-09,2.6413224018826387e-09
11,260000,2,2.686639424620077e-09,2.638405543852248e-09
12,310000,1,2.241103074632171e-09,2.2120757126921414e-09
13,310000,2,2.0554328574441973e-09,2.2117953373931685e-09
14,360000,1,1.9508807285249574e-09,1.905808078245722e-09
15,360000,2,1.882035802013729e-09,1.904018196731089e-09
16,410000,1,1.604281888525695e-09,1.6717668342087965e-09
17,410000,2,1.6879538200779045e-09,1.6711681189792176e-09
18,460000,1,1.5790038826431108e-09,1.4891059339928737e-09
19,460000,2,1.5935654665096388e-09,1.4897339458731912e-09
20,510000,1,1.3349242626124567e-09,1.3424777469876886e-09
21,510000,2,1.3727950392576878e-09,1.3441349315621294e-09
22,560000,1,1.277430202244299e-09,1.223593253663385e-09
23,560000,2,1.2270739949961667e-09,1.224224734025701e-09
24,610000,1,1.0912345284816451e-09,1.1228109344721687e-09
25,610000,2,1.0991973795631163e-09,1.1237365319669e-09
26,660000,1,9.975919793901024e-10,1.03811489041126e-09
27,660000,2,9.202967218499548e-10,1.0386233400515516e-09
28,710000,1,9.300009652899469e-10,9.647629025398028e-10
29,710000,2,9.752835859428365e-10,9.65280465884453e-10
30,760000,1,8.785395156406067e-10,9.011241109838896e-10
31,760000,2,8.331095902722071e-10,9.016133212125877e-10
32,810000,1,8.375082776124843e-10,8.45917677750607e-10
33,810000,2,8.133726700613293e-10,8.462621933385813e-10
34,860000,1,7.947750344182778e-10,7.963333036159803e-10
35,860000,2,7.936149335061705e-10,7.968562878272617e-10
36,910000,1,6.928964349519662e-10,7.525151275443976e-10
37,910000,2,7.449228879380865e-10,7.529254540020095e-10
38,960000,1,7.550354409540908e-10,7.135439006041608e-10
39,960000,2,7.00102695161149e-10,7.139732947501336e-10
