,n,emp,theo
0,3000,6.685000698780641e-06,0.00021978707809466869
1,6000,3.4006407076958567e-06,0.00011000839003827423
2,9000,2.2104522940935567e-06,7.339531293837354e-05
3,12000,1.6851050759214559e-06,5.503254215000197e-05
4,15000,1.3840261772202211e-06,4.394845018396154e-05
5,18000,1.1230179097765358e-06,3.666437623905949e-05
6,21000,9.995334266932332e-07,3.2825082598719746e-05
7,24000,1.0318466365788481e-06,3.240073783672415e-05
8,27000,9.938498806150164e-07,3.1996012694435194e-05
9,30000,1.0121407285623718e-06,3.159303014399484e-05
