,n,coef,emp_var,theo_var
0,10000,1,7.34313845962804e-17,-0.0
1,10000,2,1.2614807312219885e-08,-1.5066546948848252e-08
2,10000,3,1.2614807312217445e-08,1.5066546948848252e-08
3,10000,4,7.343138466413172e-17,0.0
4,20000,1,2.5114155053276973e-17,-0.0
5,20000,2,7.691767811717304e-09,-7.519402143474563e-09
6,20000,3,7.691767811715896e-09,7.519402143474563e-09
7,20000,4,2.511415512482663e-17,0.0
8,30000,1,7.475883661977048e-18,-0.0
9,30000,2,4.230830715179564e-09,-5.0107305661955225e-09
10,30000,3,4.230830715178863e-09,5.0107305661955225e-09
11,30000,4,7.475883716206046e-18,0.0
12,40000,1,6.905837474332847e-18,-0.0
13,40000,2,3.780714228830012e-09,-3.768294214882865e-09
14,40000,3,3.780714228828436e-09,3.768294214882865e-09
15,40000,4,6.905837424748723e-18,0.0
16,50000,1,5.492191516959033e-18,-0.0
17,50000,2,2.714953881278855e-09,-3.010647518061604e-09
18,50000,3,2.7149538812800946e-09,3.010647518061604e-09
19,50000,4,5.492191623390096e-18,0.0
20,60000,1,2.7407217081790146e-18,-0.0
21,60000,2,1.9299128474624436e-09,-2.507410917073793e-09
22,60000,3,1.9299128474632286e-09,2.507410917073793e-09
23,60000,4,2.7407217748444036e-18,0.0
24,70000,1,2.3183962318490954e-18,-0.0
25,70000,2,2.186594658910701e-09,-2.1501372541504107e-09
26,70000,3,2.1865946589114862e-09,2.1501372541504107e-09
27,70000,4,2.3183962748578432e-18,0.0
28,80000,1,1.5930289910417926e-18,-0.0
29,80000,2,2.0161223562459082e-09,-1.8781045686012982e-09
30,80000,3,2.0161223562452523e-09,1.8781045686012982e-09
31,80000,4,1.593028987627809e-18,0.0
32,90000,1,8.053709851708254e-19,-0.0
33,90000,2,1.3478179711349018e-09,-1.6680935622444947e-09
34,90000,3,1.3478179711354018e-09,1.6680935622444947e-09
35,90000,4,8.053710116321174e-19,0.0
36,100000,1,1.081639965628528e-18,-0.0
37,100000,2,1.4920167255472041e-09,-1.4996965364226999e-09
38,100000,3,1.4920167255478307e-09,1.4996965364226999e-09
39,100000,4,1.0816399741495322e-18,0.0
40,110000,1,8.322736747754162e-19,-0.0
41,110000,2,1.2367216655262088e-09,-1.3626185661794153e-09
42,110000,3,1.2367216655254676e-09,1.3626185661794153e-09
43,110000,4,8.322736668490833e-19,0.0
44,120000,1,2.054487893515486e-18,-0.0
45,120000,2,1.2141948019864165e-09,-1.2495272404285017e-09
46,120000,3,1.2141948019865708e-09,1.2495272404285017e-09
47,120000,4,2.0544879237149316e-18,0.0
48,130000,1,6.240380328259738e-19,-0.0
49,130000,2,1.0999882256093938e-09,-1.1532271601024458e-09
50,130000,3,1.09998822561026e-09,1.1532271601024458e-09
51,130000,4,6.240380435727749e-19,0.0
52,140000,1,5.710166425275675e-19,-0.0
53,140000,2,1.3058272022616464e-09,-1.071647917409702e-09
54,140000,3,1.3058272022620966e-09,1.071647917409702e-09
55,140000,4,5.710166350353734e-19,0.0
56,150000,1,4.318993945006083e-19,-0.0
57,150000,2,1.0103136147414141e-09,-1.000052822395523e-09
58,150000,3,1.0103136147410224e-09,1.000052822395523e-09
59,150000,4,4.31899364343437e-19,0.0
60,160000,1,4.77119946088054e-19,-0.0
61,160000,2,9.409005222746631e-10,-9.378223855064646e-10
62,160000,3,9.4090052227515e-10,9.378223855064646e-10
63,160000,4,4.771199349321072e-19,0.0
64,170000,1,5.700548143212256e-19,-0.0
65,170000,2,9.48696076369123e-10,-8.822332750102953e-10
66,170000,3,9.486960763693814e-10,8.822332750102953e-10
67,170000,4,5.700548136537147e-19,0.0
68,180000,1,5.089093710935914e-19,-0.0
69,180000,2,1.0069091203864832e-09,-8.333253617158334e-10
70,180000,3,1.0069091203869865e-09,8.333253617158334e-10
71,180000,4,5.089093144279093e-19,0.0
72,190000,1,2.223972977775469e-19,-0.0
73,190000,2,6.850136513432825e-10,-7.893071574253309e-10
74,190000,3,6.850136513429875e-10,7.893071574253309e-10
75,190000,4,2.223972875674311e-19,0.0
76,200000,1,3.677275316685133e-19,-0.0
77,200000,2,9.147873501401249e-10,-7.498487978326619e-10
78,200000,3,9.147873501410107e-10,7.498487978326619e-10
79,200000,4,3.677275687314925e-19,0.0
80,210000,1,3.4612810574790495e-19,-0.0
81,210000,2,8.577166847337077e-10,-7.138305785458781e-10
82,210000,3,8.577166847335478e-10,7.138305785458781e-10
83,210000,4,3.4612809421914367e-19,0.0
84,220000,1,2.0819310024476613e-19,-0.0
85,220000,2,6.38574375594445e-10,-6.809917925201924e-10
86,220000,3,6.385743755955899e-10,6.809917925201924e-10
87,220000,4,2.0819310335885072e-19,0.0
88,230000,1,2.3614353231679563e-19,-0.0
89,230000,2,7.214819214311964e-10,-6.511454321013636e-10
90,230000,3,7.214819214290397e-10,6.511454321013636e-10
91,230000,4,2.361435530710089e-19,0.0
92,240000,1,1.7407517277208728e-19,-0.0
93,240000,2,6.879084159361802e-10,-6.24041539510104e-10
94,240000,3,6.879084159365416e-10,6.24041539510104e-10
95,240000,4,1.7407517846012798e-19,0.0
96,250000,1,2.1070098537316605e-19,-0.0
97,250000,2,6.547261719543133e-10,-5.988848029451724e-10
98,250000,3,6.54726171953741e-10,5.988848029451724e-10
99,250000,4,2.1070098022724022e-19,0.0
100,260000,1,1.5414532469318327e-19,-0.0
101,260000,2,5.882649743751366e-10,-5.758516602065793e-10
102,260000,3,5.882649743744904e-10,5.758516602065793e-10
103,260000,4,1.5414533541334903e-19,0.0
104,270000,1,7.763437795539005e-20,-0.0
105,270000,2,4.4020255634380867e-10,-5.544471986573461e-10
106,270000,3,4.4020255634468367e-10,5.544471986573461e-10
107,270000,4,7.763435819024651e-20,0.0
108,280000,1,7.839193883713254e-20,-0.0
109,280000,2,4.187516882725902e-10,-5.34860521068979e-10
110,280000,3,4.1875168827226915e-10,5.34860521068979e-10
111,280000,4,7.839193661372085e-20,0.0
112,290000,1,1.713308030315663e-19,-0.0
113,290000,2,5.556343438333268e-10,-5.165014139328511e-10
114,290000,3,5.55634343832524e-10,5.165014139328511e-10
115,290000,4,1.7133083565991522e-19,0.0
116,300000,1,1.0292944585350935e-19,-0.0
117,300000,2,5.697472524859744e-10,-4.993734418346142e-10
118,300000,3,5.697472524855227e-10,4.993734418346142e-10
119,300000,4,1.0292945463697751e-19,0.0
120,310000,1,1.2068253941403978e-19,-0.0
121,310000,2,5.333981448439337e-10,-4.831696825243789e-10
122,310000,3,5.333981448441021e-10,4.831696825243789e-10
123,310000,4,1.2068254420451465e-19,0.0
124,320000,1,1.0097350651769038e-19,-0.0
125,320000,2,4.3950802386538965e-10,-4.682344802556368e-10
126,320000,3,4.3950802386617713e-10,4.682344802556368e-10
127,320000,4,1.0097350381238753e-19,0.0
128,330000,1,8.098127642612356e-20,-0.0
129,330000,2,4.383870433654493e-10,-4.540857133205242e-10
130,330000,3,4.3838704336533037e-10,4.540857133205242e-10
131,330000,4,8.098126705136382e-20,0.0
132,340000,1,1.2646707092917337e-19,-0.0
133,340000,2,5.244071577154616e-10,-4.40720252432221e-10
134,340000,3,5.244071577152065e-10,4.40720252432221e-10
135,340000,4,1.2646708719933455e-19,0.0
136,350000,1,1.1487545422982852e-19,-0.0
137,350000,2,5.486755573167804e-10,-4.2818074335475934e-10
138,350000,3,5.486755573173902e-10,4.2818074335475934e-10
139,350000,4,1.1487545978545415e-19,0.0
140,360000,1,9.12997536199225e-20,-0.0
141,360000,2,4.617391029077507e-10,-4.16411547947969e-10
142,360000,3,4.6173910290705127e-10,4.16411547947969e-10
143,360000,4,9.129975604333371e-20,0.0
144,370000,1,1.8712501766382075e-19,-0.0
145,370000,2,4.6462276973029474e-10,-4.05078357978391e-10
146,370000,3,4.646227697315155e-10,4.05078357978391e-10
147,370000,4,1.8712504650401594e-19,0.0
148,380000,1,5.797756246751692e-20,-0.0
149,380000,2,3.769067791206859e-10,-3.944559830748575e-10
150,380000,3,3.769067791208348e-10,3.944559830748575e-10
151,380000,4,5.797756720660092e-20,0.0
152,390000,1,6.7653249460739e-20,-0.0
153,390000,2,4.461378024925236e-10,-3.8449999222819076e-10
154,390000,3,4.461378024926293e-10,3.8449999222819076e-10
155,390000,4,6.765324611536467e-20,0.0
156,400000,1,4.109930016641803e-20,-0.0
157,400000,2,3.1438506152002317e-10,-3.74834768156199e-10
158,400000,3,3.1438506152031237e-10,3.74834768156199e-10
159,400000,4,4.109929138614241e-20,0.0
160,410000,1,8.608591227379844e-20,-0.0
161,410000,2,4.169333836970201e-10,-3.6570984366261713e-10
162,410000,3,4.1693338369668943e-10,3.6570984366261713e-10
163,410000,4,8.608591621169447e-20,0.0
164,420000,1,6.988722336235168e-20,-0.0
165,420000,2,4.038016638864575e-10,-3.570144326165123e-10
166,420000,3,4.038016638874335e-10,3.570144326165123e-10
167,420000,4,6.988722751302837e-20,0.0
168,430000,1,5.830707402812424e-20,-0.0
169,430000,2,3.182698701790345e-10,-3.486208092257092e-10
